time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Art & Design,Total,Postgraduates in scope of target,413,z
201920,Academic year,National,E92000001,England,Art & Design,Target,Postgraduate ITT Target,668,62
201920,Academic year,National,E92000001,England,Art & Design,Total,Total Postgraduates,421,100
201920,Academic year,National,E92000001,England,Biology,Total,Postgraduates in scope of target,1934,z
201920,Academic year,National,E92000001,England,Biology,Target,Postgraduate ITT Target,1192,162
201920,Academic year,National,E92000001,England,Biology,Total,Total Postgraduates,1946,100
201920,Academic year,National,E92000001,England,Business Studies,Total,Postgraduates in scope of target,185,z
201920,Academic year,National,E92000001,England,Business Studies,Target,Postgraduate ITT Target,348,53
201920,Academic year,National,E92000001,England,Business Studies,Total,Total Postgraduates,201,100
201920,Academic year,National,E92000001,England,Chemistry,Total,Postgraduates in scope of target,767,z
201920,Academic year,National,E92000001,England,Chemistry,Target,Postgraduate ITT Target,1152,67
201920,Academic year,National,E92000001,England,Chemistry,Total,Total Postgraduates,783,100
201920,Academic year,National,E92000001,England,Classics,Total,Postgraduates in scope of target,71,z
201920,Academic year,National,E92000001,England,Classics,Target,Postgraduate ITT Target,28,254
201920,Academic year,National,E92000001,England,Classics,Total,Total Postgraduates,80,100
201920,Academic year,National,E92000001,England,Computing,Total,Postgraduates in scope of target,471,z
201920,Academic year,National,E92000001,England,Computing,Target,Postgraduate ITT Target,631,75
201920,Academic year,National,E92000001,England,Computing,Total,Total Postgraduates,475,100
201920,Academic year,National,E92000001,England,Design & Technology,Total,Postgraduates in scope of target,432,z
201920,Academic year,National,E92000001,England,Design & Technology,Target,Postgraduate ITT Target,1022,42
201920,Academic year,National,E92000001,England,Design & Technology,Total,Total Postgraduates,441,100
201920,Academic year,National,E92000001,England,Drama,Total,Postgraduates in scope of target,291,z
201920,Academic year,National,E92000001,England,Drama,Target,Postgraduate ITT Target,347,84
201920,Academic year,National,E92000001,England,Drama,Total,Total Postgraduates,300,100
201920,Academic year,National,E92000001,England,English,Total,Postgraduates in scope of target,2901,z
201920,Academic year,National,E92000001,England,English,Target,Postgraduate ITT Target,2654,109
201920,Academic year,National,E92000001,England,English,Total,Total Postgraduates,2939,100
201920,Academic year,National,E92000001,England,Geography,Total,Postgraduates in scope of target,1312,z
201920,Academic year,National,E92000001,England,Geography,Target,Postgraduate ITT Target,1116,118
201920,Academic year,National,E92000001,England,Geography,Total,Total Postgraduates,1328,100
201920,Academic year,National,E92000001,England,History,Total,Postgraduates in scope of target,1457,z
201920,Academic year,National,E92000001,England,History,Target,Postgraduate ITT Target,1273,114
201920,Academic year,National,E92000001,England,History,Total,Total Postgraduates,1476,100
201920,Academic year,National,E92000001,England,Mathematics,Total,Postgraduates in scope of target,2157,z
201920,Academic year,National,E92000001,England,Mathematics,Target,Postgraduate ITT Target,3343,65
201920,Academic year,National,E92000001,England,Mathematics,Total,Total Postgraduates,2197,100
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Postgraduates in scope of target,1384,z
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Target,Postgraduate ITT Target,2241,62
201920,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total Postgraduates,1419,100
201920,Academic year,National,E92000001,England,Music,Total,Postgraduates in scope of target,312,z
201920,Academic year,National,E92000001,England,Music,Target,Postgraduate ITT Target,392,80
201920,Academic year,National,E92000001,England,Music,Total,Total Postgraduates,329,100
201920,Academic year,National,E92000001,England,Other,Total,Postgraduates in scope of target,279,z
201920,Academic year,National,E92000001,England,Other,Target,Postgraduate ITT Target,668,42
201920,Academic year,National,E92000001,England,Other,Total,Total Postgraduates,290,100
201920,Academic year,National,E92000001,England,Physical Education,Total,Postgraduates in scope of target,1276,z
201920,Academic year,National,E92000001,England,Physical Education,Target,Postgraduate ITT Target,1222,104
201920,Academic year,National,E92000001,England,Physical Education,Total,Total Postgraduates,1372,100
201920,Academic year,National,E92000001,England,Physics,Total,Postgraduates in scope of target,524,z
201920,Academic year,National,E92000001,England,Physics,Target,Postgraduate ITT Target,1265,41
201920,Academic year,National,E92000001,England,Physics,Total,Total Postgraduates,551,100
201920,Academic year,National,E92000001,England,Religious Education,Total,Postgraduates in scope of target,494,z
201920,Academic year,National,E92000001,England,Religious Education,Target,Postgraduate ITT Target,525,94
201920,Academic year,National,E92000001,England,Religious Education,Total,Total Postgraduates,508,100
201920,Academic year,National,E92000001,England,Primary,Total,Postgraduates in scope of target,12092,z
201920,Academic year,National,E92000001,England,Primary,Target,Postgraduate ITT Target,13003,93
201920,Academic year,National,E92000001,England,Primary,Total,Total Postgraduates,12364,100
201920,Academic year,National,E92000001,England,Secondary,Total,Postgraduates in scope of target,16660,z
201920,Academic year,National,E92000001,England,Secondary,Target,Postgraduate ITT Target,20087,83
