time_period,time_identifier,geographic_level,country_code,country_name,inclusion_status,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
201516,Academic year,National,E92000001,England,Original,Art & Design,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Art & Design,Entrants,Postgraduates,506,z
201516,Academic year,National,E92000001,England,Original,Art & Design,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Art & Design,Target,ITT Recruitment,794,64
201516,Academic year,National,E92000001,England,Original,Biology,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Biology,Entrants,Postgraduates,1058,z
201516,Academic year,National,E92000001,England,Original,Biology,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Biology,Target,ITT Recruitment,1178,90
201516,Academic year,National,E92000001,England,Original,Business Studies,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Business Studies,Entrants,Postgraduates,200,z
201516,Academic year,National,E92000001,England,Original,Business Studies,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Business Studies,Target,ITT Recruitment,313,64
201516,Academic year,National,E92000001,England,Original,Chemistry,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Chemistry,Entrants,Postgraduates,985,z
201516,Academic year,National,E92000001,England,Original,Chemistry,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Chemistry,Target,ITT Recruitment,1053,94
201516,Academic year,National,E92000001,England,Original,Computing,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Computing,Entrants,Postgraduates,504,z
201516,Academic year,National,E92000001,England,Original,Computing,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Computing,Target,ITT Recruitment,723,70
201516,Academic year,National,E92000001,England,Original,Design & Technology,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Design & Technology,Entrants,Postgraduates,513,z
201516,Academic year,National,E92000001,England,Original,Design & Technology,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Design & Technology,Target,ITT Recruitment,1279,40
201516,Academic year,National,E92000001,England,Original,English,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,English,Entrants,Postgraduates,2370,z
201516,Academic year,National,E92000001,England,Original,English,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,English,Target,ITT Recruitment,2253,105
201516,Academic year,National,E92000001,England,Original,Geography,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Geography,Entrants,Postgraduates,642,z
201516,Academic year,National,E92000001,England,Original,Geography,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Geography,Target,ITT Recruitment,778,83
201516,Academic year,National,E92000001,England,Original,History,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,History,Entrants,Postgraduates,918,z
201516,Academic year,National,E92000001,England,Original,History,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,History,Target,ITT Recruitment,816,113
201516,Academic year,National,E92000001,England,Original,Mathematics,Entrants,Total,z,z
201516,Academic year,National,E92000001,England,Original,Mathematics,Entrants,Postgraduates,2452,z
201516,Academic year,National,E92000001,England,Original,Mathematics,Entrants,Undergraduates,z,z
201516,Academic year,National,E92000001,England,Original,Mathematics,Target,ITT Recruitment,2581,95
201516,Academic year,National,E92000001,England,Original,Modern Foreign Languages,Entrants,Total,z,z
