time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Art & Design,Total,Total,421,100
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried High Potential ITT,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried High Potential ITT,Total,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Fee-Funded,Higher Education Institution,298,71
201920,Academic year,National,E92000001,England,Art & Design,PG Fee-Funded,School Centred ITT,116,28
201920,Academic year,National,E92000001,England,Art & Design,PG Fee-Funded,Total,414,98
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried Postgraduate Teaching Apprenticeship,Total,1,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,Higher Education Institution,4,1
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,School Centred ITT,2,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,Total,6,1
201920,Academic year,National,E92000001,England,Art & Design,Undergraduate Fee-Funded,Total,0,null
201920,Academic year,National,E92000001,England,Art & Design,Undergraduate Teacher Degree Apprenticeship,Total,0,null
201920,Academic year,National,E92000001,England,Art & Design,Undergraduate Total,Total,0,0
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Salaried Total,Total,7,2
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Total,Total,421,100
201920,Academic year,National,E92000001,England,Biology,Total,Total,1955,100
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,Higher Education Institution,156,8
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,Total,156,8
201920,Academic year,National,E92000001,England,Biology,PG Fee-Funded,Higher Education Institution,1257,65
201920,Academic year,National,E92000001,England,Biology,PG Fee-Funded,School Centred ITT,477,25
201920,Academic year,National,E92000001,England,Biology,PG Fee-Funded,Total,1734,89
201920,Academic year,National,E92000001,England,Biology,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,2,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried Postgraduate Teaching Apprenticeship,Total,3,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,Higher Education Institution,14,1
201920,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,School Centred ITT,39,2
201920,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,Total,53,3
201920,Academic year,National,E92000001,England,Biology,Undergraduate Fee-Funded,Total,9,100
201920,Academic year,National,E92000001,England,Biology,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Biology,Undergraduate Total,Total,9,0
201920,Academic year,National,E92000001,England,Biology,Postgraduate Salaried Total,Total,212,11
201920,Academic year,National,E92000001,England,Biology,Postgraduate Total,Total,1946,100
201920,Academic year,National,E92000001,England,Business Studies,Total,Total,201,100
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,Higher Education Institution,36,18
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,Total,36,18
201920,Academic year,National,E92000001,England,Business Studies,PG Fee-Funded,Higher Education Institution,95,47
201920,Academic year,National,E92000001,England,Business Studies,PG Fee-Funded,School Centred ITT,38,19
201920,Academic year,National,E92000001,England,Business Studies,PG Fee-Funded,Total,133,66
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,6,3
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried Postgraduate Teaching Apprenticeship,Total,6,3
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,Higher Education Institution,10,5
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,School Centred ITT,16,8
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,Total,26,13
201920,Academic year,National,E92000001,England,Business Studies,Undergraduate Fee-Funded,Total,0,null
201920,Academic year,National,E92000001,England,Business Studies,Undergraduate Teacher Degree Apprenticeship,Total,0,null
201920,Academic year,National,E92000001,England,Business Studies,Undergraduate Total,Total,0,0
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Salaried Total,Total,68,34
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Total,Total,201,100
201920,Academic year,National,E92000001,England,Chemistry,Total,Total,786,100
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,Higher Education Institution,41,5
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,Total,41,5
201920,Academic year,National,E92000001,England,Chemistry,PG Fee-Funded,Higher Education Institution,480,61
201920,Academic year,National,E92000001,England,Chemistry,PG Fee-Funded,School Centred ITT,221,28
201920,Academic year,National,E92000001,England,Chemistry,PG Fee-Funded,Total,701,90
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,2,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,2,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried Postgraduate Teaching Apprenticeship,Total,4,1
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,Higher Education Institution,11,1
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,School Centred ITT,26,3
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,Total,37,5
201920,Academic year,National,E92000001,England,Chemistry,Undergraduate Fee-Funded,Total,3,100
201920,Academic year,National,E92000001,England,Chemistry,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Chemistry,Undergraduate Total,Total,3,0
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Salaried Total,Total,82,10
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,783,100
201920,Academic year,National,E92000001,England,Classics,Total,Total,80,100
201920,Academic year,National,E92000001,England,Classics,PG Salaried High Potential ITT,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried High Potential ITT,Total,0,0
201920,Academic year,National,E92000001,England,Classics,PG Fee-Funded,Higher Education Institution,61,76
