time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,HEI,Degree Class,Total Known,265,100
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,HEI,Degree Class,First,67,25
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,HEI,Degree Class,Upper Second,132,50
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,HEI,Degree Class,Lower Second,57,22
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,HEI,Degree Class,Other,9,3
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,SCITT,Degree Class,Total Known,115,100
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,SCITT,Degree Class,First,24,21
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,SCITT,Degree Class,Upper Second,64,56
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,SCITT,Degree Class,Lower Second,23,20
201920,Academic year,National,E92000001,England,Art & Design,PG fee-funded,SCITT,Degree Class,Other,4,3
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,HEI,Degree Class,Total Known,3,100
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,HEI,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,HEI,Degree Class,Upper Second,2,67
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,HEI,Degree Class,Lower Second,1,33
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,SCITT,Degree Class,Total Known,2,100
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,SCITT,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,SCITT,Degree Class,Upper Second,2,100
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,SCITT,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,HEI,Degree Class,Total Known,1,100
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,HEI,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,HEI,Degree Class,Upper Second,0,0
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,HEI,Degree Class,Lower Second,1,100
201920,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Total,Total,Degree Class,Total Known,386,100
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Total,Total,Degree Class,First,91,24
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Total,Total,Degree Class,Upper Second,200,52
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Total,Total,Degree Class,Lower Second,82,21
201920,Academic year,National,E92000001,England,Art & Design,Postgraduate Total,Total,Degree Class,Other,13,3
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,HEI,Degree Class,Total Known,1239,100
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,HEI,Degree Class,First,240,19
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,HEI,Degree Class,Upper Second,664,54
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,HEI,Degree Class,Lower Second,277,22
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,HEI,Degree Class,Other,58,5
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,SCITT,Degree Class,Total Known,472,100
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,SCITT,Degree Class,First,109,23
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,SCITT,Degree Class,Upper Second,230,49
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,SCITT,Degree Class,Lower Second,117,25
201920,Academic year,National,E92000001,England,Biology,PG fee-funded,SCITT,Degree Class,Other,16,3
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,HEI,Degree Class,Total Known,146,100
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,HEI,Degree Class,First,37,25
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,HEI,Degree Class,Upper Second,98,67
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,HEI,Degree Class,Lower Second,9,6
201920,Academic year,National,E92000001,England,Biology,PG Salaried High Potential ITT,HEI,Degree Class,Other,2,1
