time_period,time_identifier,geographic_level,country_code,country_name,ethnic_group_recorded,ethnic_background_recorded,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,351,1
201920,Academic year,National,E92000001,England,Asian / Asian British,Chinese,154,1
201920,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,555,2
201920,Academic year,National,E92000001,England,Asian / Asian British,Indian,815,3
201920,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1040,4
201920,Academic year,National,E92000001,England,Asian / Asian British,Total,2915,10
201920,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,58,0
201920,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,664,2
201920,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,345,1
201920,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,1067,4
201920,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,292,1
201920,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,69,0
201920,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,258,1
201920,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,261,1
201920,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,880,3
201920,Academic year,National,E92000001,England,Other ethnic group,Arab,133,0
201920,Academic year,National,E92000001,England,Other ethnic group,Any other ethnic group,220,1
201920,Academic year,National,E92000001,England,Other ethnic group,Total,353,1
201920,Academic year,National,E92000001,England,White,English / Welsh / Scottish / Northern Irish / British,22280,80
201920,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,4,0
201920,Academic year,National,E92000001,England,White,Irish,76,0
201920,Academic year,National,E92000001,England,White,Any other White background,219,1
201920,Academic year,National,E92000001,England,White,Total,22579,81
202021,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1342,4
202021,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,650,2
202021,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,393,1
202021,Academic year,National,E92000001,England,Asian / Asian British,Chinese,154,0
202021,Academic year,National,E92000001,England,Asian / Asian British,Indian,903,3
202021,Academic year,National,E92000001,England,Asian / Asian British,Total,3442,10
202021,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,99,0
202021,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,376,1
202021,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,971,3
202021,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,1446,4
202021,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,104,0
202021,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,348,1
202021,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,292,1
202021,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,338,1
202021,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,1082,3
202021,Academic year,National,E92000001,England,Other ethnic group,Any other ethnic group,302,1
202021,Academic year,National,E92000001,England,Other ethnic group,Arab,202,1
202021,Academic year,National,E92000001,England,Other ethnic group,Total,504,2
202021,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,3,0
202021,Academic year,National,E92000001,England,White,Irish,60,0
202021,Academic year,National,E92000001,England,White,English / Welsh / Scottish / Northern Irish / British,26505,80
202021,Academic year,National,E92000001,England,White,Any other White background,177,1
202021,Academic year,National,E92000001,England,White,Total,26745,81
202122,Academic year,National,E92000001,England,Asian / Asian British,Indian,669,2
202122,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1047,4
202122,Academic year,National,E92000001,England,Asian / Asian British,Unknown,198,1
202122,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,303,1
202122,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,507,2
202122,Academic year,National,E92000001,England,Asian / Asian British,Chinese,188,1
202122,Academic year,National,E92000001,England,Asian / Asian British,Total,2912,11
202122,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,63,0
202122,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,313,1
202122,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Unknown,86,0
202122,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,697,3
202122,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,1159,4
202122,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,93,0
202122,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,267,1
202122,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,259,1
202122,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Unknown,71,0
202122,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,218,1
202122,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,908,3
202122,Academic year,National,E92000001,England,Other ethnic group,Arab,132,0
