time_period,time_identifier,geographic_level,country_code,country_name,itt_level,breakdown_topic,breakdown,trainee_number,trainee_percentage
201516,Academic year,National,E92000001,England,Postgraduate,Total,Primary,12578,100
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Male,2722,22
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Female,9856,78
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Other Sex,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Known Sex,12578,100
201516,Academic year,National,E92000001,England,Postgraduate,Total,Secondary,15183,55
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Male,5983,39
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Female,9200,61
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Other Sex,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Known Sex,15183,100
201516,Academic year,National,E92000001,England,Postgraduate,Sex,Total Known Sex,27761,100
201516,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Asian / Asian British,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Other ethnic group,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Ethnicity,White,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Total Known Ethnicity,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Age,Under 25,15199,55
201516,Academic year,National,E92000001,England,Postgraduate,Age,25 to 29,6763,24
201516,Academic year,National,E92000001,England,Postgraduate,Age,30 to 34,2153,8
201516,Academic year,National,E92000001,England,Postgraduate,Age,35 to 39,1339,5
201516,Academic year,National,E92000001,England,Postgraduate,Age,40 to 44,1155,4
201516,Academic year,National,E92000001,England,Postgraduate,Age,45 to 49,762,3
201516,Academic year,National,E92000001,England,Postgraduate,Age,50 to 54,314,1
201516,Academic year,National,E92000001,England,Postgraduate,Age,55 and over,76,0
201516,Academic year,National,E92000001,England,Postgraduate,Disability,Declared,2297,8
201516,Academic year,National,E92000001,England,Postgraduate,Disability,No Disability Declared,25304,92
201516,Academic year,National,E92000001,England,Postgraduate,Disability,Total Known Disability,27601,99
201516,Academic year,National,E92000001,England,Postgraduate,Nationality,UK,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Nationality,EEA,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Nationality,Other Nationality,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Nationality,Total Known Nationality,0,0
201516,Academic year,National,E92000001,England,Postgraduate,Degree Class,First,4984,18
201516,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second,15719,57
201516,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second Class Degree or Better,20703,75
201516,Academic year,National,E92000001,England,Postgraduate,Degree Class,Lower Second,6024,22
201516,Academic year,National,E92000001,England,Postgraduate,Degree Class,Other Degree Class,857,3
201516,Academic year,National,E92000001,England,Postgraduate,Degree Class,Total Known Degree Class,27584,99
201516,Academic year,National,E92000001,England,Undergraduate,Total,Primary,4781,100
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Male,722,15
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Female,4059,85
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Other Sex,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Known Sex,4781,100
201516,Academic year,National,E92000001,England,Undergraduate,Total,Secondary,719,13
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Male,215,30
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Female,504,70
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Other Sex,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Known Sex,719,100
201516,Academic year,National,E92000001,England,Undergraduate,Sex,Total Known Sex,5500,100
201516,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Asian / Asian British,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Other ethnic group,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Ethnicity,White,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Total Known Ethnicity,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Age,Under 25,4977,90
201516,Academic year,National,E92000001,England,Undergraduate,Age,25 to 29,247,4
201516,Academic year,National,E92000001,England,Undergraduate,Age,30 to 34,125,2
201516,Academic year,National,E92000001,England,Undergraduate,Age,35 to 39,70,1
201516,Academic year,National,E92000001,England,Undergraduate,Age,40 to 44,54,1
201516,Academic year,National,E92000001,England,Undergraduate,Age,45 to 49,25,0
201516,Academic year,National,E92000001,England,Undergraduate,Age,50 to 54,2,0
201516,Academic year,National,E92000001,England,Undergraduate,Age,55 and over,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Disability,Declared,459,8
201516,Academic year,National,E92000001,England,Undergraduate,Disability,No Disability Declared,5041,92
201516,Academic year,National,E92000001,England,Undergraduate,Disability,Total Known Disability,5500,100
201516,Academic year,National,E92000001,England,Undergraduate,Nationality,UK,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Nationality,EEA,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Nationality,Other Nationality,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Nationality,Total Known Nationality,0,0
201516,Academic year,National,E92000001,England,Undergraduate,Degree Class,First,z,z
201516,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second,z,z
201516,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second Class Degree or Better,z,z
201516,Academic year,National,E92000001,England,Undergraduate,Degree Class,Lower Second,z,z
201516,Academic year,National,E92000001,England,Undergraduate,Degree Class,Other Degree Class,z,z
201516,Academic year,National,E92000001,England,Undergraduate,Degree Class,Total Known Degree Class,z,z
201617,Academic year,National,E92000001,England,Postgraduate,Total,Primary,11288,100
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Male,2266,20
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Female,9022,80
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Other Sex,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Known Sex,11288,100
201617,Academic year,National,E92000001,England,Postgraduate,Total,Secondary,15461,58
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Male,6241,40
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Female,9220,60
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Other Sex,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Known Sex,15461,100
201617,Academic year,National,E92000001,England,Postgraduate,Sex,Total Known Sex,26749,100
201617,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Asian / Asian British,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Other ethnic group,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Ethnicity,White,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Total Known Ethnicity,0,0
201617,Academic year,National,E92000001,England,Postgraduate,Age,Under 25,14164,53
201617,Academic year,National,E92000001,England,Postgraduate,Age,25 to 29,6495,24
201617,Academic year,National,E92000001,England,Postgraduate,Age,30 to 34,2189,8
201617,Academic year,National,E92000001,England,Postgraduate,Age,35 to 39,1401,5
201617,Academic year,National,E92000001,England,Postgraduate,Age,40 to 44,1116,4
201617,Academic year,National,E92000001,England,Postgraduate,Age,45 to 49,863,3
201617,Academic year,National,E92000001,England,Postgraduate,Age,50 to 54,408,2
201617,Academic year,National,E92000001,England,Postgraduate,Age,55 and over,113,0
201617,Academic year,National,E92000001,England,Postgraduate,Disability,Declared,2424,9
201617,Academic year,National,E92000001,England,Postgraduate,Disability,No Disability Declared,24245,91
201617,Academic year,National,E92000001,England,Postgraduate,Disability,Total Known Disability,26669,100
201617,Academic year,National,E92000001,England,Postgraduate,Nationality,UK,23658,93
201617,Academic year,National,E92000001,England,Postgraduate,Nationality,EEA,1295,5
201617,Academic year,National,E92000001,England,Postgraduate,Nationality,Other Nationality,506,2
201617,Academic year,National,E92000001,England,Postgraduate,Nationality,Total Known Nationality,25459,95
201617,Academic year,National,E92000001,England,Postgraduate,Degree Class,First,4767,18
201617,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second,14779,56
201617,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second Class Degree or Better,19546,74
201617,Academic year,National,E92000001,England,Postgraduate,Degree Class,Lower Second,6013,23
201617,Academic year,National,E92000001,England,Postgraduate,Degree Class,Other Degree Class,802,3
201617,Academic year,National,E92000001,England,Postgraduate,Degree Class,Total Known Degree Class,26361,99
201617,Academic year,National,E92000001,England,Undergraduate,Total,Primary,4906,100
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Male,729,15
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Female,4177,85
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Other Sex,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Known Sex,4906,100
201617,Academic year,National,E92000001,England,Undergraduate,Total,Secondary,241,5
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Male,91,38
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Female,150,62
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Other Sex,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Known Sex,241,100
201617,Academic year,National,E92000001,England,Undergraduate,Sex,Total Known Sex,5147,100
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Asian / Asian British,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Other ethnic group,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,White,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Total Known Ethnicity,0,0
201617,Academic year,National,E92000001,England,Undergraduate,Age,Under 25,4681,91
201617,Academic year,National,E92000001,England,Undergraduate,Age,25 to 29,213,4
201617,Academic year,National,E92000001,England,Undergraduate,Age,30 to 34,102,2
