time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG fee-funded,Higher Education,1269,52
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG fee-funded,School Centred ITT,636,26
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG fee-funded,Total,1905,79
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG Salaried School Direct,Higher Education,22,1
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG Salaried School Direct,School Centred ITT,44,2
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG Salaried School Direct,Total,66,3
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG Salaried PGTA,Higher Education,11,0
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG Salaried PGTA,Total,11,0
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Undergraduate fee-funded,Higher Education,440,18
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Undergraduate fee-funded,Total,440,18
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,PG Salaried Total,Total,77,3
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Postgraduate Total,Total,1982,82
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Undergraduate Total,Total,440,18
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,Total,2422,7
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG fee-funded,Higher Education,905,34
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG fee-funded,School Centred ITT,1169,44
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG fee-funded,Total,2074,79
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG Salaried School Direct,School Centred ITT,332,13
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG Salaried School Direct,Higher Education,72,3
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG Salaried School Direct,Total,404,15
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG Salaried PGTA,School Centred ITT,9,0
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG Salaried PGTA,Total,9,0
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Undergraduate fee-funded,Higher Education,149,6
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Undergraduate fee-funded,Total,149,6
201920,Academic year,Regional,E92000001,England,E12000006,East of England,PG Salaried Total,Total,413,16
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Postgraduate Total,Total,2487,94
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Undergraduate Total,Total,149,6
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Total,Total,2636,8
201920,Academic year,Regional,E92000001,England,E12000007,London,PG fee-funded,School Centred ITT,943,15
201920,Academic year,Regional,E92000001,England,E12000007,London,PG fee-funded,Higher Education,3005,48
201920,Academic year,Regional,E92000001,England,E12000007,London,PG fee-funded,Total,3948,64
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried High Potential ITT,Higher Education,641,10
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried High Potential ITT,Total,641,10
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried School Direct,School Centred ITT,637,10
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried School Direct,Higher Education,432,7
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried School Direct,Total,1069,17
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried PGTA,School Centred ITT,49,1
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried PGTA,Higher Education,43,1
201920,Academic year,Regional,E92000001,England,E12000007,London,PG Salaried PGTA,Total,92,1
201920,Academic year,Regional,E92000001,England,E12000007,London,Undergraduate fee-funded,Higher Education,463,7
