time_period,time_identifier,geographic_level,country_code,country_name,training_route,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Early Years ITT Graduate employment-based,Total,Total,307,100
201920,Academic year,National,E92000001,England,Early Years ITT Graduate Entry,Total,Total,41,100
201920,Academic year,National,E92000001,England,Early Years ITT Undergraduate Entry,Total,Total,9,100
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Total,Total,348,100
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Age,Under 25,55,16
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Age,25 and Over,293,84
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Male,14,4
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Female,334,96
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Other Sex,0,0
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Total Known Sex,348,100
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Asian / Asian British,22,7
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Black / African / Caribbean / Black British,12,4
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Mixed / Multiple ethnic groups,6,2
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Other Ethnic group,1,0
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,White,276,87
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Total Known Ethnicity,317,91
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Disability,Declared,32,10
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Disability,No Disability Declared,284,90
201920,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Disability,Total Known Disability,316,91
201920,Academic year,National,E92000001,England,Early Years ITT Total,Total,Total,357,100
202021,Academic year,National,E92000001,England,Early Years ITT Graduate employment-based,Total,Total,478,100
202021,Academic year,National,E92000001,England,Early Years ITT Graduate Entry,Total,Total,77,100
202021,Academic year,National,E92000001,England,Early Years ITT Undergraduate Entry,Total,Total,26,100
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Total,Total,555,100
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Age,Under 25,130,23
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Age,25 and Over,425,77
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Male,15,3
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Female,537,97
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Other Sex,3,1
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Total Known Sex,555,100
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Asian / Asian British,46,11
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Black / African / Caribbean / Black British,20,5
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Mixed / Multiple ethnic groups,11,3
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Other Ethnic group,4,1
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,White,348,81
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Ethnicity,Total Known Ethnicity,429,77
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Disability,Declared,41,8
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Disability,No Disability Declared,476,92
202021,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Disability,Total Known Disability,517,93
202021,Academic year,National,E92000001,England,Early Years ITT Total,Total,Total,581,100
202122,Academic year,National,E92000001,England,Early Years ITT Graduate employment-based,Total,Total,374,100
202122,Academic year,National,E92000001,England,Early Years ITT Graduate Entry,Total,Total,69,100
202122,Academic year,National,E92000001,England,Early Years ITT Undergraduate Entry,Total,Total,15,100
202122,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Total,Total,443,100
202122,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Age,Under 25,114,26
202122,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Age,25 and Over,329,74
202122,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Male,14,3
202122,Academic year,National,E92000001,England,Postgraduate Early Years ITT Total,Sex,Female,427,97
