time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,sex,age_grouping,ethnicity_major,nationality_group,num_candidates,num_accepted,perc_accepted_candidates_with_characteristic,in_cycle_accepted_candidates,in_cycle_acceptance_rate
202223,Academic year,National,E92000001,England,Art & Design,Female,Total,Total,Total,878,440,87,539,61
202223,Academic year,National,E92000001,England,Art & Design,Male,Total,Total,Total,196,67,13,84,43
202223,Academic year,National,E92000001,England,Art & Design,Other sex,Total,Total,Total,0,0,0,0,0
202223,Academic year,National,E92000001,England,Art & Design,Total,25 to 29,Total,Total,287,154,30,182,63
202223,Academic year,National,E92000001,England,Art & Design,Total,30 to 34,Total,Total,144,59,12,79,55
202223,Academic year,National,E92000001,England,Art & Design,Total,35 to 39,Total,Total,74,25,5,36,49
202223,Academic year,National,E92000001,England,Art & Design,Total,40 to 44,Total,Total,48,18,4,24,50
202223,Academic year,National,E92000001,England,Art & Design,Total,45 to 49,Total,Total,53,21,4,24,45
202223,Academic year,National,E92000001,England,Art & Design,Total,50 to 54,Total,Total,40,13,3,18,45
202223,Academic year,National,E92000001,England,Art & Design,Total,55 and over,Total,Total,19,5,1,x,x
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Asian / Asian British,Total,91,33,6,35,38
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Black / African / Caribbean / Black British,Total,63,10,2,14,22
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Mixed / Multiple ethnic groups,Total,49,23,4,29,59
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Other ethnic group,Total,23,7,1,x,x
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Total,EEA national,58,22,4,32,55
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Total,Other nationality,61,12,2,17,28
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Total,Total,1086,512,100,628,58
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Total,UK and Irish national,967,478,93,579,60
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,Unknown,Total,36,12,2,14,39
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,White,Total,824,427,83,527,64
202223,Academic year,National,E92000001,England,Art & Design,Total,Under 25,Total,Total,421,217,42,259,62
202223,Academic year,National,E92000001,England,Biology,Female,Total,Total,Total,998,412,68,501,50
202223,Academic year,National,E92000001,England,Biology,Male,Total,Total,Total,520,190,32,232,45
202223,Academic year,National,E92000001,England,Biology,Other sex,Total,Total,Total,0,0,0,0,0
202223,Academic year,National,E92000001,England,Biology,Total,25 to 29,Total,Total,339,136,22,163,48
202223,Academic year,National,E92000001,England,Biology,Total,30 to 34,Total,Total,231,62,10,80,35
202223,Academic year,National,E92000001,England,Biology,Total,35 to 39,Total,Total,180,43,7,61,34
202223,Academic year,National,E92000001,England,Biology,Total,40 to 44,Total,Total,111,24,4,31,28
202223,Academic year,National,E92000001,England,Biology,Total,45 to 49,Total,Total,70,12,2,21,30
202223,Academic year,National,E92000001,England,Biology,Total,50 to 54,Total,Total,41,8,1,12,29
202223,Academic year,National,E92000001,England,Biology,Total,55 and over,Total,Total,27,3,0,x,x
202223,Academic year,National,E92000001,England,Biology,Total,Total,Asian / Asian British,Total,339,108,18,138,41
202223,Academic year,National,E92000001,England,Biology,Total,Total,Black / African / Caribbean / Black British,Total,309,44,7,74,24
202223,Academic year,National,E92000001,England,Biology,Total,Total,Mixed / Multiple ethnic groups,Total,53,27,4,30,57
202223,Academic year,National,E92000001,England,Biology,Total,Total,Other ethnic group,Total,47,10,2,16,34
202223,Academic year,National,E92000001,England,Biology,Total,Total,Total,EEA national,58,27,4,29,50
202223,Academic year,National,E92000001,England,Biology,Total,Total,Total,Other nationality,416,51,8,88,21
202223,Academic year,National,E92000001,England,Biology,Total,Total,Total,Total,1534,606,100,737,48
202223,Academic year,National,E92000001,England,Biology,Total,Total,Total,UK and Irish national,1060,528,87,620,58
202223,Academic year,National,E92000001,England,Biology,Total,Total,Unknown,Total,49,12,2,15,31
202223,Academic year,National,E92000001,England,Biology,Total,Total,White,Total,737,405,67,464,63
202223,Academic year,National,E92000001,England,Biology,Total,Under 25,Total,Total,535,318,52,361,67
202223,Academic year,National,E92000001,England,Business Studies,Female,Total,Total,Total,345,104,55,142,41
202223,Academic year,National,E92000001,England,Business Studies,Male,Total,Total,Total,333,85,45,116,35
202223,Academic year,National,E92000001,England,Business Studies,Other sex,Total,Total,Total,0,0,0,0,0
