time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,itt_program_type,num_candidates,num_accepted,perc_accepted_candidates_on_route,in_cycle_accepted_candidates,in_cycle_acceptance_rate
202223,Academic year,National,E92000001,England,Art & Design,PG fee-funded,HEI,874,358,70,437,50
202223,Academic year,National,E92000001,England,Art & Design,PG fee-funded,SCITT,432,141,28,178,41
202223,Academic year,National,E92000001,England,Art & Design,PG fee-funded,Total,1051,499,97,615,59
202223,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,HEI,15,0,0,x,x
202223,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,SCITT,59,7,1,7,12
202223,Academic year,National,E92000001,England,Art & Design,PG Salaried PGTA,Total,69,7,1,7,10
202223,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,HEI,9,2,0,x,x
202223,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,SCITT,27,4,1,x,x
202223,Academic year,National,E92000001,England,Art & Design,PG Salaried School Direct,Total,34,6,1,6,18
202223,Academic year,National,E92000001,England,Art & Design,PG Total,HEI,885,360,70,439,50
202223,Academic year,National,E92000001,England,Art & Design,PG Total,SCITT,482,152,30,189,39
202223,Academic year,National,E92000001,England,Art & Design,PG Total,Total,1086,512,100,628,58
202223,Academic year,National,E92000001,England,Art & Design,Total,HEI,885,360,70,439,50
202223,Academic year,National,E92000001,England,Art & Design,Total,SCITT,482,152,30,189,39
202223,Academic year,National,E92000001,England,Art & Design,Total,Total,1086,512,100,628,58
202223,Academic year,National,E92000001,England,Biology,PG fee-funded,HEI,1193,404,67,504,42
202223,Academic year,National,E92000001,England,Biology,PG fee-funded,SCITT,530,160,26,185,35
202223,Academic year,National,E92000001,England,Biology,PG fee-funded,Total,1409,564,93,689,49
202223,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,HEI,13,3,0,x,x
202223,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,SCITT,68,13,2,14,21
202223,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,Total,79,16,3,18,23
202223,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,HEI,61,9,1,11,18
202223,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,SCITT,157,17,3,19,12
